id,IR,MR,FF,CR,CO,OP,MC,Class
217,P,N,N,N,N,N,N,B
218,N,A,N,N,N,P,N,B
219,N,N,N,N,N,A,N,B
220,A,A,N,N,N,N,N,B
221,A,A,N,N,N,P,N,B
222,A,N,N,N,N,N,N,B
223,P,A,N,N,N,A,N,B
224,P,N,N,N,N,P,N,B
225,P,A,N,N,N,N,N,B
226,P,N,N,N,N,N,N,B
227,N,A,N,N,N,P,N,B
228,N,N,N,N,N,A,N,B
229,A,A,N,N,N,N,N,B
230,A,A,N,N,N,N,N,B
231,A,P,N,N,N,N,N,B
232,P,A,N,N,N,N,N,B
233,A,N,N,N,N,N,N,B
234,N,N,N,N,N,N,N,B
235,N,A,N,N,N,N,N,B
236,A,N,N,N,N,A,N,B
237,P,N,N,N,N,N,N,B
238,N,P,N,N,N,N,N,B
239,A,P,N,A,N,N,N,B
240,N,N,N,N,N,N,N,B
241,N,N,N,A,N,A,N,B
242,N,N,N,N,N,P,N,B
243,N,N,N,N,N,A,N,B
244,N,N,N,A,N,P,N,B
245,N,N,N,A,N,N,N,B
246,N,N,A,N,N,N,N,B
247,P,N,N,N,N,N,N,B
248,A,N,N,N,N,N,N,B
249,N,N,N,N,N,N,N,B
250,P,N,N,N,A,A,A,B
